image_name,centers_of_detected_circles,sensitivity,num_centers,x_displacement,y_displacement
Img_093_20200901_000100.jpg,"[[ 824.52941176  596.37058824   79.37253933]
 [1023.48780488  594.84756098   79.37253933]
 [ 820.42592593  398.49382716   79.37253933]
 [1020.22297297  396.71621622   79.37253933]]",0.97,4,-0.42286860312240293,-0.4866944866537182
Img_093_20200901_010100.jpg,"[[ 824.38418079  595.4180791    79.37253933]
 [1022.88125     593.5125       79.37253933]
 [1019.94303797  395.65822785   79.37253933]
 [ 819.925       398.21875      79.37253933]]",0.97,4,-0.5980082881585957,-0.5952502856838624
Img_093_20200901_020100.jpg,"[[ 823.40555556  594.34444444   79.37253933]
 [1022.66081871  592.69005848   79.37253933]
 [1019.26666667  395.06111111   79.37253933]
 [ 819.40828402  397.14201183   79.37253933]]",0.97,4,-0.6728019858184968,-0.7054256545175424
Img_093_20200901_030100.jpg,"[[ 823.36040609  592.85786802   79.37253933]
 [1022.          591.64942529   79.37253933]
 [ 818.97058824  396.51176471   79.37253933]
 [1017.67777778  394.27777778   79.37253933]]",0.97,4,-0.6323201726769163,-0.8311711537198203
Img_093_20200901_040100.jpg,"[[ 819.40697674  395.56395349   79.37253933]
 [1021.45806452  590.51612903   79.37253933]
 [ 823.38150289  592.37572254   79.37253933]
 [1019.00675676  393.51351351   79.37253933]]",0.97,4,-0.5980219602804588,-1.1330067716742942
Img_093_20200901_050100.jpg,"[[ 819.09467456  395.50887574   79.37253933]
 [ 823.30882353  590.79411765   79.37253933]
 [1018.25903614  392.69879518   79.37253933]
 [1020.77906977  589.98837209   79.37253933]]",0.97,4,-0.7772477133853872,-1.02407805048645
Img_093_20200901_060100.jpg,"[[ 818.78980892  394.39490446   79.37253933]
 [1018.08552632  392.08552632   79.37253933]
 [ 823.20879121  591.17582418   79.37253933]
 [1021.33112583  589.69536424   79.37253933]]",0.97,4,-0.6562001707826255,-1.2748028348742153
Img_093_20200901_070100.jpg,"[[1017.92413793  391.73103448   79.37253933]
 [ 818.68125     393.475        79.37253933]
 [1021.12162162  588.60135135   79.37253933]
 [ 823.07284768  589.89403974   79.37253933]]",0.97,4,-0.8713938238995311,-1.3790173966726655
Img_093_20200901_080100.jpg,"[[ 823.60714286  590.41071429   79.37253933]
 [ 819.35897436  394.00641026   79.37253933]
 [1018.34482759  392.08965517   79.37253933]
 [1021.28368794  589.12056738   79.37253933]]",0.97,4,-0.7420877339303722,-1.1296039920041103
Img_093_20200901_090100.jpg,"[[ 819.07738095  394.3452381    79.37253933]
 [ 823.99371069  590.93081761   79.37253933]
 [1018.65030675  392.20245399   79.37253933]
 [1022.16233766  589.75324675   79.37253933]]",0.97,4,-0.7015224681526036,-1.0799481511586642
Img_093_20200901_100100.jpg,"[[ 819.8313253   395.34939759   79.37253933]
 [ 823.93939394  591.84242424   79.37253933]
 [1019.6122449   392.76190476   79.37253933]
 [1022.1942446   590.41007194   79.37253933]]",0.97,4,-0.6490991829350037,-0.9831208868693331
Img_093_20200901_110100.jpg,"[[ 820.08805031  396.38993711   79.37253933]
 [1019.97931034  394.06896552   79.37253933]
 [ 824.31176471  592.69411765   79.37253933]
 [1022.80921053  591.78947368   79.37253933]]",0.97,4,-0.4753734843871378,-1.04264384368782
