0,1,2
Img_047_20200622_140100.jpg,"[[1025.16326531  642.78571429   79.37253933]
 [ 828.96078431  647.70588235   79.37253933]
 [ 835.13684211  844.45263158   79.37253933]
 [1029.26732673  838.99009901   79.37253933]]",0.98
Img_047_20200622_150100.jpg,"[[1027.45714286  640.03809524   79.37253933]
 [ 837.81132075  841.70754717   79.37253933]
 [ 831.85714286  645.06666667   79.37253933]
 [1031.94174757  835.24271845   79.37253933]]",0.98
Img_047_20200622_160100.jpg,"[[ 838.2037037   839.96296296   79.37253933]
 [ 832.19387755  643.41836735   79.37253933]
 [1028.23529412  638.8627451    79.37253933]
 [1032.82828283  834.24242424   79.37253933]]",0.98
Img_047_20200622_170100.jpg,"[[ 833.5         641.67391304   79.37253933]
 [1029.01041667  637.40625      79.37253933]
 [ 839.10679612  838.91262136   79.37253933]
 [1033.54639175  832.96907216   79.37253933]]",0.98
Img_047_20200622_180100.jpg,"[[1029.90654206  636.10280374   79.37253933]
 [ 834.06862745  640.80392157   79.37253933]
 [ 840.03846154  837.86538462   79.37253933]
 [1034.14        831.97         79.37253933]]",0.98
Img_047_20200622_190100.jpg,"[[ 835.04716981  640.12264151   79.37253933]
 [ 840.95192308  836.875        79.37253933]
 [1030.76767677  635.46464646   79.37253933]
 [1034.46236559  830.5483871    79.37253933]]",0.98
Img_047_20200622_200100.jpg,"[[1035.03921569  830.38235294   79.37253933]
 [ 835.78217822  639.81188119   79.37253933]
 [ 841.63529412  836.44705882   79.37253933]
 [1031.5         634.60465116   79.37253933]]",0.98
Img_047_20200622_210100.jpg,"[[1035.21153846  829.89423077   79.37253933]
 [ 835.95876289  639.3814433    79.37253933]
 [ 841.85227273  835.40909091   79.37253933]
 [1032.          634.           79.37253933]]",0.98
Img_047_20200622_220100.jpg,"[[ 835.85858586  638.55555556   79.37253933]
 [1035.89215686  829.20588235   79.37253933]
 [ 842.11827957  835.52688172   79.37253933]
 [1031.67142857  633.61428571   79.37253933]]",0.98
Img_047_20200622_230100.jpg,"[[1035.09345794  829.           79.37253933]
 [ 835.62162162  638.25225225   79.37253933]
 [ 841.5952381   834.91666667   79.37253933]
 [1031.44705882  633.31764706   79.37253933]]",0.98
Img_047_20200623_140100.jpg,"[[1033.02941176  631.95098039   79.37253933]
 [ 843.          833.5          79.37253933]
 [ 836.87735849  636.95283019   79.37253933]
 [1037.          827.5          79.37253933]]",0.98
Img_047_20200624_140100.jpg,"[[ 826.78640777  635.72815534   79.37253933]
 [ 832.7244898   831.59183673   79.37253933]
 [1021.89622642  630.28301887   79.37253933]
 [1026.07142857  826.08163265   79.37253933]]",0.98
Img_047_20200625_050100.jpg,"[[779.97169811 635.89622642  79.37253933]
 [979.59649123 826.65789474  79.37253933]
 [786.10204082 831.94897959  79.37253933]
 [976.04210526 630.45263158  79.37253933]]",0.98
Img_047_20200625_200100.jpg,"[[776.3125     635.84821429  79.37253933]
 [782.61764706 831.96078431  79.37253933]
 [976.12962963 826.0462963   79.37253933]
 [972.5        630.5         79.37253933]]",0.98
Img_047_20200626_110100.jpg,"[[960.10416667 630.5         79.37253933]
 [770.20588235 831.79411765  79.37253933]
 [764.05263158 635.52631579  79.37253933]
 [963.94736842 826.47368421  79.37253933]]",0.98
Img_047_20200627_020100.jpg,"[[765.34579439 635.80373832  79.37253933]
 [965.18584071 826.45132743  79.37253933]
 [771.5        832.32608696  79.37253933]
 [961.59090909 630.40909091  79.37253933]]",0.98
Img_047_20200627_170100.jpg,"[[786.94117647 831.94117647  79.37253933]
 [977.03921569 630.1372549   79.37253933]
 [780.5        634.77777778  79.37253933]
 [981.38202247 825.64044944  79.37253933]]",0.98
Img_047_20200628_080100.jpg,"[[794.32608696 831.5         79.37253933]
 [984.32954545 629.67045455  79.37253933]
 [787.74157303 634.5505618   79.37253933]
 [988.20652174 825.34782609  79.37253933]]",0.98
Img_047_20200628_230100.jpg,"[[1014.93859649  824.57894737   79.37253933]
 [ 815.02777778  634.0462963    79.37253933]
 [ 821.20192308  830.77884615   79.37253933]
 [1010.78823529  628.8          79.37253933]]",0.98
Img_047_20200629_140100.jpg,"[[ 820.46236559  830.37634409   79.37253933]
 [1014.78846154  824.10576923   79.37253933]
 [1010.58888889  628.58888889   79.37253933]
 [ 814.53684211  633.77894737   79.37253933]]",0.98
Img_047_20200630_050100.jpg,"[[997.67961165 823.75728155  79.37253933]
 [797.46067416 633.4494382   79.37253933]
 [803.875      829.27272727  79.37253933]
 [993.08974359 628.28205128  79.37253933]]",0.98
Img_047_20200630_200100.jpg,"[[988.90816327 823.57142857  79.37253933]
 [789.21       633.07        79.37253933]
 [795.42307692 829.1025641   79.37253933]
 [985.2173913  627.85507246  79.37253933]]",0.98
Img_047_20200701_110100.jpg,"[[969.87735849 824.04716981  79.37253933]
 [769.90816327 633.47959184  79.37253933]
 [776.14705882 829.78431373  79.37253933]
 [965.82653061 628.65306122  79.37253933]]",0.98
Img_047_20200702_050100.jpg,"[[770.35135135 633.48648649  79.37253933]
 [970.08256881 824.01834862  79.37253933]
 [776.19230769 830.29807692  79.37253933]
 [966.25806452 628.27956989  79.37253933]]",0.98
Img_047_20200702_200100.jpg,"[[773.76767677 633.46464646  79.37253933]
 [973.95283019 823.93396226  79.37253933]
 [779.89583333 830.5         79.37253933]
 [969.61038961 628.32467532  79.37253933]]",0.98
Img_047_20200711_140100.jpg,"[[1025.85714286  625.04081633   79.37253933]
 [ 835.71        826.86         79.37253933]
 [ 829.5483871   629.96774194   79.37253933]
 [1029.64835165  820.52747253   79.37253933]]",0.98
Img_047_20200720_110100.jpg,"[[1012.91262136  608.83495146   79.37253933]
 [ 823.33333333  810.8989899    79.37253933]
 [ 816.81730769  614.18269231   79.37253933]
 [1017.52040816  804.09183673   79.37253933]]",0.98
Img_047_20200729_090100.jpg,"[[991.1559633  784.76146789  79.37253933]
 [797.23300971 790.84466019  79.37253933]
 [986.9047619  589.0952381   79.37253933]
 [791.22115385 594.31730769  79.37253933]]",0.98
Img_047_20200807_060100.jpg,"[[993.83185841 732.53982301  79.37253933]
 [795.11764706 540.94117647  79.37253933]
 [800.         737.4         79.37253933]
 [990.5        537.          79.37253933]]",0.98
Img_047_20200816_050100.jpg,"[[794.59459459 482.12612613  79.37253933]
 [797.5        678.          79.37253933]
 [991.02777778 675.9537037   79.37253933]
 [990.68627451 480.32352941  79.37253933]]",0.98
Img_047_20200825_030100.jpg,"[[1001.43333333  644.625        79.37253933]
 [ 806.54237288  449.48305085   79.37253933]
 [ 808.28318584  645.9380531    79.37253933]
 [1002.60952381  448.47619048   79.37253933]]",0.98
Img_047_20200903_000100.jpg,[],0.98
Img_050_20200625_040100.jpg,"[[ 902.82781457  599.73509934   79.37253933]
 [1106.45454545  806.58041958   79.37253933]
 [ 901.35074627  806.03731343   79.37253933]
 [1106.59090909  602.87272727   79.37253933]]",0.98
Img_050_20200704_030100.jpg,"[[1058.82608696  806.53913043   79.37253933]
 [ 854.53097345  599.80530973   79.37253933]
 [ 853.97222222  806.9537037    79.37253933]
 [1058.65333333  601.05333333   79.37253933]]",0.98
Img_050_20200713_020100.jpg,"[[1075.92523364  805.92523364   79.37253933]
 [ 872.92307692  599.14423077   79.37253933]
 [ 871.79411765  806.20588235   79.37253933]
 [1076.89552239  600.2238806    79.37253933]]",0.98
Img_050_20200721_200100.jpg,"[[ 856.40983607  597.50819672   79.37253933]
 [1060.08256881  804.9266055    79.37253933]
 [ 855.33636364  804.82727273   79.37253933]
 [1060.54545455  599.12987013   79.37253933]]",0.98
Img_050_20200730_190100.jpg,"[[ 880.05714286  595.81904762   79.37253933]
 [1084.64545455  598.14545455   79.37253933]
 [1083.32110092  803.44954128   79.37253933]
 [ 878.10576923  803.21153846   79.37253933]]",0.98
Img_050_20200808_180100.jpg,"[[1075.79338843  792.60330579   79.37253933]
 [1079.76229508  587.40983607   79.37253933]
 [ 871.          789.53174603   79.37253933]
 [ 875.82835821  581.82089552   79.37253933]]",0.98
Img_059_20200706_200100.jpg,"[[ 925.89393939  719.40909091   39.68626967]
 [1017.83333333  622.03030303   39.68626967]
 [1019.83823529  716.05882353   39.68626967]
 [ 923.61290323  625.           39.68626967]]",0.98
Img_047_20200624_150100.jpg,"[[ 827.          831.90654206   79.37253933]
 [1016.59793814  630.75257732   79.37253933]
 [ 820.92380952  635.07619048   79.37253933]
 [1020.5         826.10416667   79.37253933]]",0.98
Img_047_20200624_160100.jpg,"[[ 823.18446602  831.84466019   79.37253933]
 [1012.96153846  630.80769231   79.37253933]
 [ 817.45714286  635.25714286   79.37253933]
 [1017.04716981  825.97169811   79.37253933]]",0.98
Img_047_20200624_170100.jpg,"[[1008.78846154  631.10576923   79.37253933]
 [ 813.5         635.57608696   79.37253933]
 [ 819.80851064  832.46808511   79.37253933]
 [1012.75728155  826.01941748   79.37253933]]",0.98
Img_047_20200624_180100.jpg,"[[1008.95283019  826.12264151   79.37253933]
 [ 809.25742574  635.81188119   79.37253933]
 [ 815.54945055  831.63736264   79.37253933]
 [1005.04494382  630.4494382    79.37253933]]",0.98
Img_047_20200624_190100.jpg,"[[1005.7962963   825.87037037   79.37253933]
 [ 806.19        635.43         79.37253933]
 [ 812.10416667  831.5          79.37253933]
 [1001.85        630.           79.37253933]]",0.98
Img_047_20200624_200100.jpg,"[[1002.01869159  826.44859813   79.37253933]
 [ 802.10204082  635.43877551   79.37253933]
 [ 808.44578313  831.86746988   79.37253933]
 [ 997.82142857  630.30952381   79.37253933]]",0.98
Img_047_20200624_210100.jpg,"[[799.53153153 635.73873874  79.37253933]
 [998.87735849 826.09433962  79.37253933]
 [805.48421053 831.84210526  79.37253933]
 [994.97701149 631.22988506  79.37253933]]",0.98
Img_047_20200624_220100.jpg,"[[796.25       635.31730769  79.37253933]
 [995.85294118 825.87254902  79.37253933]
 [802.47368421 831.94736842  79.37253933]
 [991.90909091 630.34090909  79.37253933]]",0.98
Img_047_20200624_230100.jpg,"[[993.29245283 826.18867925  79.37253933]
 [793.91262136 635.78640777  79.37253933]
 [799.90425532 831.65957447  79.37253933]
 [989.81333333 630.34666667  79.37253933]]",0.98
Img_047_20200625_000100.jpg,"[[790.74747475 635.92929293  79.37253933]
 [990.02884615 826.04807692  79.37253933]
 [796.76744186 832.26744186  79.37253933]
 [986.421875   630.765625    79.37253933]]",0.98
Img_047_20200625_010100.jpg,"[[787.87735849 636.04716981  79.37253933]
 [988.         826.24299065  79.37253933]
 [794.12371134 832.          79.37253933]
 [983.67816092 630.62068966  79.37253933]]",0.98
Img_047_20200625_020100.jpg,"[[984.82905983 826.20512821  79.37253933]
 [785.04716981 635.87735849  79.37253933]
 [790.99009901 832.08910891  79.37253933]
 [980.87096774 630.8172043   79.37253933]]",0.98
Img_047_20200625_030100.jpg,"[[782.94230769 635.88461538  79.37253933]
 [982.78181818 826.42727273  79.37253933]
 [789.07920792 832.15841584  79.37253933]
 [978.74683544 630.97468354  79.37253933]]",0.98
Img_047_20200625_040100.jpg,"[[781.07619048 635.92380952  79.37253933]
 [981.07619048 826.98095238  79.37253933]
 [787.12345679 832.25925926  79.37253933]
 [977.         631.          79.37253933]]",0.98
Img_047_20200625_060100.jpg,"[[779.         635.80952381  79.37253933]
 [978.69811321 826.13207547  79.37253933]
 [784.67045455 832.32954545  79.37253933]
 [974.56790123 630.85185185  79.37253933]]",0.98
Img_047_20200625_070100.jpg,"[[972.95283019 631.02830189  79.37253933]
 [783.16504854 833.00970874  79.37253933]
 [977.         826.5         79.37253933]
 [777.45454545 636.04040404  79.37253933]]",0.98
Img_047_20200625_080100.jpg,"[[783.41666667 832.23148148  79.37253933]
 [777.20588235 635.79411765  79.37253933]
 [977.10416667 826.5         79.37253933]
 [973.47368421 630.94736842  79.37253933]]",0.98
Img_047_20200625_090100.jpg,"[[782.61946903 832.10619469  79.37253933]
 [776.87628866 635.6185567   79.37253933]
 [972.26732673 630.99009901  79.37253933]
 [976.82       826.44        79.37253933]]",0.98
Img_047_20200625_100100.jpg,"[[776.98095238 635.92380952  79.37253933]
 [782.55454545 832.16363636  79.37253933]
 [976.88       826.72        79.37253933]
 [972.5257732  630.94845361  79.37253933]]",0.98
Img_047_20200625_110100.jpg,"[[782.19090909 832.4         79.37253933]
 [776.19       635.48        79.37253933]
 [976.41904762 826.35238095  79.37253933]
 [972.07619048 631.01904762  79.37253933]]",0.98
Img_047_20200625_120100.jpg,"[[972.01       631.17        79.37253933]
 [776.08080808 635.73737374  79.37253933]
 [782.15533981 832.18446602  79.37253933]
 [976.1443299  826.45360825  79.37253933]]",0.98
Img_047_20200625_130100.jpg,"[[972.05882353 630.94117647  79.37253933]
 [976.22222222 826.38383838  79.37253933]
 [782.1682243  832.75700935  79.37253933]
 [775.91919192 635.73737374  79.37253933]]",0.98
Img_047_20200625_140100.jpg,"[[971.42708333 631.08333333  79.37253933]
 [781.84466019 832.18446602  79.37253933]
 [975.89583333 826.5         79.37253933]
 [775.86315789 635.54736842  79.37253933]]",0.98
Img_047_20200625_150100.jpg,"[[976.41489362 826.41489362  79.37253933]
 [972.04901961 631.02941176  79.37253933]
 [776.08653846 635.86538462  79.37253933]
 [781.87037037 832.7962963   79.37253933]]",0.98
Img_047_20200625_160100.jpg,"[[781.85714286 832.25714286  79.37253933]
 [971.73529412 631.10784314  79.37253933]
 [976.05154639 826.5257732   79.37253933]
 [775.85858586 635.60606061  79.37253933]]",0.98
Img_047_20200625_170100.jpg,"[[972.10679612 630.91262136  79.37253933]
 [776.84466019 635.81553398  79.37253933]
 [976.5        826.67391304  79.37253933]
 [782.45714286 832.13333333  79.37253933]]",0.98
Img_047_20200625_180100.jpg,"[[971.9223301  630.9223301   79.37253933]
 [782.5        832.67391304  79.37253933]
 [976.27472527 826.52747253  79.37253933]
 [776.48888889 635.67777778  79.37253933]]",0.98
Img_047_20200625_190100.jpg,"[[776.86138614 635.45544554  79.37253933]
 [782.43518519 832.32407407  79.37253933]
 [972.04716981 630.87735849  79.37253933]
 [976.26213592 825.88349515  79.37253933]]",0.98
Img_047_20200625_210100.jpg,"[[776.32432432 635.73873874  79.37253933]
 [976.24299065 826.1682243   79.37253933]
 [782.87735849 832.04716981  79.37253933]
 [972.30434783 630.72826087  79.37253933]]",0.98
Img_047_20200625_220100.jpg,"[[776.06666667 635.82857143  79.37253933]
 [975.58       826.09        79.37253933]
 [781.89247312 831.78494624  79.37253933]
 [971.9125     630.6         79.37253933]]",0.98
Img_047_20200625_230100.jpg,"[[775.97169811 636.04716981  79.37253933]
 [975.56666667 826.43333333  79.37253933]
 [781.84761905 832.          79.37253933]
 [972.         630.5         79.37253933]]",0.98
Img_047_20200626_000100.jpg,"[[974.96153846 826.72115385  79.37253933]
 [775.02830189 635.95283019  79.37253933]
 [781.09473684 832.16842105  79.37253933]
 [971.09859155 630.90140845  79.37253933]]",0.98
Img_047_20200626_010100.jpg,"[[774.22330097 635.81553398  79.37253933]
 [974.04716981 826.02830189  79.37253933]
 [780.52808989 831.65168539  79.37253933]
 [969.96511628 630.81395349  79.37253933]]",0.98
Img_047_20200626_020100.jpg,"[[773.53097345 635.90265487  79.37253933]
 [973.17142857 826.24761905  79.37253933]
 [779.58510638 832.          79.37253933]
 [969.55172414 630.52873563  79.37253933]]",0.98
Img_047_20200626_030101.jpg,"[[972.61458333 826.28125     79.37253933]
 [772.6952381  635.72380952  79.37253933]
 [778.81914894 831.58510638  79.37253933]
 [968.92307692 630.55384615  79.37253933]]",0.98
Img_047_20200626_040100.jpg,"[[970.57692308 825.81730769  79.37253933]
 [770.91666667 635.42708333  79.37253933]
 [776.95698925 831.53763441  79.37253933]
 [967.59036145 630.1686747   79.37253933]]",0.98
Img_047_20200626_050100.jpg,"[[769.78095238 635.75238095  79.37253933]
 [775.85858586 832.39393939  79.37253933]
 [969.1559633  826.30275229  79.37253933]
 [966.11764706 630.41176471  79.37253933]]",0.98
Img_047_20200626_060100.jpg,"[[967.10576923 826.02884615  79.37253933]
 [767.09       635.42        79.37253933]
 [773.86597938 831.53608247  79.37253933]
 [963.59090909 630.40909091  79.37253933]]",0.98
Img_047_20200626_070100.jpg,"[[766.04040404 635.45454545  79.37253933]
 [966.42       825.91        79.37253933]
 [772.65979381 831.89690722  79.37253933]
 [962.25581395 629.96511628  79.37253933]]",0.98
Img_047_20200626_080100.jpg,"[[771.89622642 831.97169811  79.37253933]
 [961.08737864 630.83495146  79.37253933]
 [765.53703704 635.67592593  79.37253933]
 [965.87735849 826.04716981  79.37253933]]",0.98
Img_047_20200626_090100.jpg,"[[770.92929293 832.19191919  79.37253933]
 [960.86813187 630.6043956   79.37253933]
 [764.84210526 635.51578947  79.37253933]
 [965.36781609 826.37931034  79.37253933]]",0.98
Img_047_20200626_100100.jpg,"[[770.04716981 831.97169811  79.37253933]
 [964.37362637 826.46153846  79.37253933]
 [764.         635.5         79.37253933]
 [960.19       631.03        79.37253933]]",0.98
Img_047_20200626_120100.jpg,"[[770.5        832.          79.37253933]
 [764.58888889 635.41111111  79.37253933]
 [960.58139535 630.58139535  79.37253933]
 [964.45054945 826.36263736  79.37253933]]",0.98
Img_047_20200626_130100.jpg,"[[770.71568627 832.01960784  79.37253933]
 [960.32608696 630.5         79.37253933]
 [764.5        635.40217391  79.37253933]
 [964.82291667 826.40625     79.37253933]]",0.98
Img_047_20200626_140100.jpg,"[[770.45454545 832.04040404  79.37253933]
 [763.91428571 635.52380952  79.37253933]
 [960.53535354 630.76767677  79.37253933]
 [964.3655914  826.4516129   79.37253933]]",0.98
Img_047_20200626_150100.jpg,"[[770.76237624 832.15841584  79.37253933]
 [964.61797753 826.35955056  79.37253933]
 [764.58888889 635.58888889  79.37253933]
 [960.68888889 630.57777778  79.37253933]]",0.98
Img_047_20200626_160100.jpg,"[[770.94736842 832.47368421  79.37253933]
 [961.31868132 630.84615385  79.37253933]
 [764.5505618  635.46067416  79.37253933]
 [965.23255814 826.60465116  79.37253933]]",0.98
Img_047_20200626_170100.jpg,"[[771.61616162 832.22222222  79.37253933]
 [764.91089109 635.31683168  79.37253933]
 [961.15533981 630.81553398  79.37253933]
 [965.46236559 826.5483871   79.37253933]]",0.98
Img_047_20200626_180100.jpg,"[[771.28571429 832.57142857  79.37253933]
 [764.95959596 635.54545455  79.37253933]
 [961.25773196 630.91752577  79.37253933]
 [965.7979798  826.24242424  79.37253933]]",0.98
Img_047_20200626_190100.jpg,"[[771.32631579 832.68421053  79.37253933]
 [961.4516129  631.03225806  79.37253933]
 [965.5        826.5         79.37253933]
 [765.11764706 636.11764706  79.37253933]]",0.98
Img_047_20200626_200100.jpg,"[[765.72       635.5         79.37253933]
 [965.85185185 825.87037037  79.37253933]
 [771.95       831.97        79.37253933]
 [961.54545455 630.22077922  79.37253933]]",0.98
Img_047_20200626_210100.jpg,"[[765.26041667 635.58333333  79.37253933]
 [965.86538462 826.08653846  79.37253933]
 [771.975      832.2875      79.37253933]
 [961.81428571 630.18571429  79.37253933]]",0.98
Img_047_20200626_220100.jpg,"[[765.41176471 635.44117647  79.37253933]
 [965.5        826.          79.37253933]
 [771.72340426 831.89361702  79.37253933]
 [961.43373494 630.37349398  79.37253933]]",0.98
