image_name,centers_of_detected_circles,sensitivity,num_centers,x_displacement,y_displacement
Img_093_20200806_180100.jpg,"[[ 816.66666667  373.88888889   74.83314774]
 [1010.4047619   372.08333333   74.83314774]
 [1013.47368421  563.81578947   74.83314774]
 [ 820.86111111  565.02777778   74.83314774]]",0.99,4,-1.52962932122246,-4.14870411574813
Img_093_20200806_190100.jpg,"[[ 820.94594595  565.02702703   74.83314774]
 [ 816.53488372  373.60465116   74.83314774]
 [1010.2195122   371.57317073   74.83314774]
 [1013.1641791   563.46268657   74.83314774]]",0.99,4,-1.48923654918712,-3.97418237137543
Img_093_20200828_180100.jpg,"[[ 820.47272727  596.64242424   74.83314774]
 [1019.34104046  594.30057803   74.83314774]
 [ 816.11351351  398.56756757   74.83314774]
 [1016.27906977  396.35465116   74.83314774]]",0.99,4,-0.927499218807236,-0.487012251835962
Img_093_20200828_190100.jpg,"[[ 821.90853659  597.00609756   74.83314774]
 [1021.76041667  595.46875      74.83314774]
 [ 817.02314815  398.88888889   74.83314774]
 [1017.60930233  397.54418605   74.83314774]]",0.99,4,-0.736312255424853,-0.395370960448878
Img_093_20200828_200100.jpg,"[[ 822.125       598.05625      74.83314774]
 [1021.43529412  595.77647059   74.83314774]
 [ 817.90625     400.24375      74.83314774]
 [1018.28402367  397.88757396   74.83314774]]",0.99,4,-0.691196619552553,-0.301627079836583
Img_093_20200828_210100.jpg,"[[ 822.89502762  598.2320442    74.83314774]
 [1022.56132075  596.41509434   74.83314774]
 [1018.85227273  397.51704545   74.83314774]
 [ 819.4556213   399.94674556   74.83314774]]",0.99,4,-0.744666741999017,-0.292979778678324
Img_093_20200828_220100.jpg,"[[ 823.53797468  597.71518987   74.83314774]
 [1021.38848921  595.37410072   74.83314774]
 [ 819.67123288  403.21917808   74.83314774]
 [1019.55172414  397.45402299   74.83314774]]",0.99,4,-0.555581509704052,-0.251409755756857
Img_093_20200828_230100.jpg,"[[ 823.2611465   597.17197452   74.83314774]
 [1021.73484848  595.00757576   74.83314774]
 [ 818.71717172  399.50505051   74.83314774]
 [1018.84297521  397.37190083   74.83314774]]",0.99,4,-0.605449378186465,-0.394086520132674
Img_093_20200829_000100.jpg,"[[ 823.67857143  597.25         74.83314774]
 [1022.          594.59868421   74.83314774]
 [1019.15686275  396.92810458   74.83314774]
 [ 818.01886792  399.55660377   74.83314774]]",0.99,4,-0.774578654917288,-0.411008566569391
Img_093_20200829_010100.jpg,"[[ 823.17877095  597.21787709   74.83314774]
 [1021.74698795  594.40963855   74.83314774]
 [ 818.33557047  398.69127517   74.83314774]
 [1018.64497041  396.6035503    74.83314774]]",0.99,4,-0.626226711973148,-0.459709961645364
